File_Name,Last_Seen
scrape_AAPL_data.py,2023-08-14 20:07:10
verify_AAPL_data.py,2023-08-14 20:07:16
update_indicators_file.py,2023-08-14 20:19:37
scrape_ABBV_data.py,2023-08-14 20:13:59
verify_ABBV_data.py,2023-08-14 20:14:05
scrape_AMZN_data.py,2023-08-14 20:14:24
verify_AMZN_data.py,2023-08-14 20:14:30
scrape_AVGO_data.py,2023-08-14 20:14:31
verify_AVGO_data.py,2023-08-14 20:14:38
scrape_BABA_data.py,2023-08-14 20:14:46
verify_BABA_data.py,2023-08-14 20:14:52
scrape_BAC_data.py,2023-08-14 20:14:53
verify_BAC_data.py,2023-08-14 20:14:59
scrape_BRK-A_data.py,2023-08-14 20:15:00
verify_BRK-A_data.py,2023-08-14 20:15:07
scrape_BRK-B_data.py,2023-08-14 20:15:08
verify_BRK-B_data.py,2023-08-14 20:15:14
scrape_COST_data.py,2023-08-14 20:15:15
verify_COST_data.py,2023-08-14 20:15:21
scrape_CSCO_data.py,2023-08-14 20:15:29
verify_CSCO_data.py,2023-08-14 20:15:36
scrape_CVX_data.py,2023-08-14 20:15:37
verify_CVX_data.py,2023-08-14 20:15:43
scrape_GOOG_data.py,2023-08-14 20:15:44
verify_GOOG_data.py,2023-08-14 20:15:50
scrape_GOOGL_data.py,2023-08-14 20:15:51
verify_GOOGL_data.py,2023-08-14 20:15:57
scrape_HD_data.py,2023-08-14 20:15:58
verify_HD_data.py,2023-08-14 20:16:05
scrape_JNJ_data.py,2023-08-14 20:16:06
verify_JNJ_data.py,2023-08-14 20:16:12
scrape_JPM_data.py,2023-08-14 20:16:13
verify_JPM_data.py,2023-08-14 20:16:20
scrape_KO_data.py,2023-08-14 20:16:21
verify_KO_data.py,2023-08-14 20:16:27
scrape_LLY_data.py,2023-08-14 20:16:28
verify_LLY_data.py,2023-08-14 20:16:34
scrape_MA_data.py,2023-08-14 20:16:35
verify_MA_data.py,2023-08-14 20:16:43
scrape_META_data.py,2023-08-14 20:16:51
verify_META_data.py,2023-08-14 20:16:57
scrape_MRK_data.py,2023-08-14 20:16:58
verify_MRK_data.py,2023-08-14 20:17:04
scrape_MSFT_data.py,2023-08-14 20:17:05
verify_MSFT_data.py,2023-08-14 20:17:11
scrape_NVDA_data.py,2023-08-14 20:17:27
verify_NVDA_data.py,2023-08-14 20:17:33
scrape_NVO_data.py,2023-08-14 20:17:34
verify_NVO_data.py,2023-08-14 20:17:40
scrape_ORCL_data.py,2023-08-14 20:17:48
verify_ORCL_data.py,2023-08-14 20:17:54
scrape_PCAR_data.py,2023-08-14 20:17:55
verify_PCAR_data.py,2023-08-14 20:18:01
scrape_PEP_data.py,2023-08-14 20:18:09
verify_PEP_data.py,2023-08-14 20:18:15
scrape_PFE_data.py,2023-08-14 20:18:16
verify_PFE_data.py,2023-08-14 20:18:22
scrape_PG_data.py,2023-08-14 20:18:23
verify_PG_data.py,2023-08-14 20:18:30
scrape_SHEL_data.py,2023-08-14 20:18:30
verify_SHEL_data.py,2023-08-14 20:18:37
scrape_TMO_data.py,2023-08-14 20:18:48
verify_TMO_data.py,2023-08-14 20:18:54
scrape_TSLA_data.py,2023-08-14 20:18:55
verify_TSLA_data.py,2023-08-14 20:19:00
scrape_TSM_data.py,2023-08-14 20:19:01
verify_TSM_data.py,2023-08-14 20:19:08
scrape_UNH_data.py,2023-08-14 20:19:08
verify_UNH_data.py,2023-08-14 20:19:14
scrape_V_data.py,2023-08-14 20:19:15
verify_V_data.py,2023-08-14 20:19:22
scrape_WMT_data.py,2023-08-14 20:19:22
verify_WMT_data.py,2023-08-14 20:19:29
scrape_XOM_data.py,2023-08-14 20:19:30
verify_XOM_data.py,2023-08-14 20:19:37
scrape_ACN_data.py,2023-08-14 20:14:06
verify_ACN_data.py,2023-08-14 20:14:16
scrape_ADBE_data.py,2023-08-14 20:14:17
verify_ADBE_data.py,2023-08-14 20:14:24
scrape_AZN_data.py,2023-08-14 20:14:39
verify_AZN_data.py,2023-08-14 20:14:46
scrape_CRM_data.py,2023-08-14 20:15:22
verify_CRM_data.py,2023-08-14 20:15:29
scrape_MCD_data.py,2023-08-14 20:16:43
verify_MCD_data.py,2023-08-14 20:16:50
scrape_NGG_data.py,2023-08-14 20:17:12
verify_NGG_data.py,2023-08-14 20:17:19
scrape_NOW_data.py,2023-08-14 20:17:19
verify_NOW_data.py,2023-08-14 20:17:26
scrape_NVS_data.py,2023-08-14 20:17:41
verify_NVS_data.py,2023-08-14 20:17:47
scrape_PCGU_data.py,2023-08-14 20:18:02
verify_PCGU_data.py,2023-08-14 20:18:09
scrape_TM_data.py,2023-08-14 20:18:37
verify_TM_data.py,2023-08-14 20:18:47
